"Data Source","World Development Indicators",

"Last Updated Date","2015-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00178348645915888","0.00217523113592951","0.00168450178877775","0.00171250336941079","0.0016728351979713","0.00123664100550588","0.00117872465109262","0.00114757084216885","0.00142886840826335","0.00150998030290468","0.0015796131528077","0.00155753238861103","0.00196415229317812","0.00255577243516704","0.00336758914850193","0.00359740202003042","0.00468744812939243","0.00536365495199382","","","","",
"Andorra","AND","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","",
"Afghanistan","AFG","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","1.47856551763725","1.73685387951348","2.0428855636225","3.87147505850835","4.00600437570751","4.10033849153147","3.87034951569435","3.67550812928049","3.15067393177546","2.88524645271994","7.34315275014984","8.91353790435547","","","","","","","","","","","","","","","","","","","","5.22880933359117","4.80770988054364","3.34233357317037","2.00838854260852","1.74410277034292","2.3285058488862","1.94890922707993","2.50513982511124","1.58896679594513","2.37826917608876","2.22286828745055","1.63008741791867","1.21891392509474","","",
"Angola","AGO","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","27.5794060705322","14.4001099371027","26.4299509760888","24.1284154893302","21.1933655302693","31.7295735547808","23.2849525906945","49.5946515486697","42.6367571520173","56.423550360407","56.7305101430355","52.1469373832545","49.238217837005","32.5883745277008","50.9811482562492","66.0983422083282","53.3808057577437","46.7125761226477","49.3193389330679","55.2508249260718","71.478402326489","66.1561761856991","60.4244409198007","67.2332048773805","38.6498468757854","45.9929154626531","45.310017461297","41.5230666404734","34.9885508618823","","",
"Albania","ALB","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","16.4523417390468","13.8700426779612","7.85428497255376","9.03326048035559","10.9803379967072","10.7449883765233","10.3097122483637","14.474370428803","18.4730900766883","5.26861654166938","2.82713582286702","2.28955058728552","2.17627147070153","2.03486749356314","0.886925160779285","0.942773727226257","1.49949301255379","1.04426706571803","1.15595190416631","1.07678252919614","1.304935416514","1.59691962688063","2.2241795278036","3.19468795366974","2.89917259262174","1.7715312666314","3.03021281569984","4.50828614635749","4.95381259017529","5.19316898590936","","",
"Arab World","ARB","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","13.7002577522072","18.1665302978118","18.236239529909","25.6971815510001","53.6480184940452","41.8587163809474","42.3226174772651","40.7659469087678","37.1191353032938","0.294196851013544","59.8376160667381","47.8525356922065","35.8936043787106","31.1481256136597","30.3406661421893","26.4949471815223","17.430627973571","20.6463222355609","18.6999718627909","22.8502703582091","22.7468437717677","27.1938611187405","25.8071825981885","23.2816652814334","21.2167573374001","21.8709764616166","24.7280260910867","21.9076076018191","15.0736634120293","17.5740425664785","29.0103466532057","24.9911740596589","23.021545599836","28.4847281186059","34.4274210896362","42.8708783679238","42.95764664786","39.8214801032261","46.5252595384025","28.7497577353233","31.6079391605537","36.1979031366072","34.6953390135666","33.0604424139984","","",
"United Arab Emirates","ARE","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","40.9272221922871","40.2661739271904","34.839028119223","34.805203505527","63.9833201155916","52.0556907730978","38.0065205629717","31.1049128542296","27.7375923672308","27.8332832745846","27.9541992507225","18.9780767656759","25.6585917075752","20.4663595486493","26.01301017226","32.3727448646987","30.0105887277897","26.0407576477787","21.921754229022","19.7843914473179","20.1167216561088","23.0393190878145","20.386849981892","13.5361507866448","15.2271594073332","24.4287498540277","20.493148421945","17.4141407023305","21.5908870191165","24.7192112420881","30.5488565967444","29.9356234645823","27.7689982255495","32.3935710330648","20.6279579896069","23.1648142680716","27.5014626229839","26.1819683018197","23.6885947306375","","",
"Argentina","ARG","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","0.937627097692195","1.25600133353564","1.28725781753575","1.29611922520553","2.85331065143947","3.73006125563866","4.26356879796715","4.45512370735318","4.78196620920978","9.14952408623214","9.75839455024255","9.29149220071061","8.08610968560263","6.0237426173652","7.4790663251071","5.94481030675999","2.79072453760448","3.12195142899284","2.58329155817972","5.20524676645721","3.55079656037536","2.36298155018049","2.04229904934964","1.97992952468411","1.79852106976604","2.17986888390674","2.71228993049076","2.43230798912093","1.64253063979397","2.08154510552281","3.94758643500545","3.65597756384738","8.6925100452153","9.39869369496664","8.30025996602357","10.1244628461676","9.71490234041897","8.00551567135146","8.85544255062679","5.02132159109238","5.0255282508106","5.00851287581744","4.25578610703506","3.77771357343663","","",
"Armenia","ARM","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.577724823233342","0.160976758266849","0.14144238551141","0.368508139715439","0.309476343265933","0.46852252881614","0.534679228919549","0.979383674164008","0.904563010054015","1.79087887940897","1.29861237764242","1.34058014848159","1.76661946489031","3.09469268481731","4.2106440834265","4.21407570428479","3.86300162567725","","",
"American Samoa","ASM","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
